,SettlementPoint,Year,Month,AveragePrice
0,HB_BUSAVG,2016,1,19.209301075268822
1,HB_BUSAVG,2016,2,15.288247126436788
2,HB_BUSAVG,2016,3,16.755625841184376
3,HB_BUSAVG,2016,4,18.289347222222197
4,HB_BUSAVG,2016,5,18.15958333333335
5,HB_BUSAVG,2016,6,23.90981944444443
6,HB_BUSAVG,2016,7,27.187473118279588
7,HB_BUSAVG,2016,8,30.567137096774225
8,HB_BUSAVG,2016,9,26.861750000000033
9,HB_BUSAVG,2016,10,25.2048387096774
10,HB_BUSAVG,2016,11,19.244902777777792
11,HB_BUSAVG,2016,12,25.31830645161287
12,HB_BUSAVG,2017,1,23.25278225806453
13,HB_BUSAVG,2017,2,20.1178273809524
14,HB_BUSAVG,2017,3,22.569892328398367
15,HB_BUSAVG,2017,4,23.70508333333335
16,HB_BUSAVG,2017,5,25.087352150537626
17,HB_BUSAVG,2017,6,27.669152777777793
18,HB_BUSAVG,2017,7,31.45427419354836
19,HB_BUSAVG,2017,8,27.50701612903228
20,HB_BUSAVG,2017,9,24.18416666666669
21,HB_BUSAVG,2017,10,23.563279569892487
22,HB_BUSAVG,2017,11,22.677458333333327
23,HB_BUSAVG,2017,12,21.187956989247333
24,HB_BUSAVG,2018,1,37.86967741935482
25,HB_BUSAVG,2018,2,21.854315476190465
26,HB_BUSAVG,2018,3,22.561978465679648
27,HB_BUSAVG,2018,4,23.142958333333308
28,HB_BUSAVG,2018,5,34.00524193548385
29,HB_BUSAVG,2018,6,29.96612499999997
30,HB_BUSAVG,2018,7,78.85944892473117
31,HB_BUSAVG,2018,8,31.661559139784913
32,HB_BUSAVG,2018,9,27.17544444444446
33,HB_BUSAVG,2018,10,29.95782258064515
34,HB_BUSAVG,2018,11,30.644499999999972
35,HB_BUSAVG,2018,12,30.268185483870955
36,HB_BUSAVG,2019,1,24.59256720430107
37,HB_BUSAVG,2019,2,21.186369047619046
38,HB_BUSAVG,2019,3,27.565720053835797
39,HB_BUSAVG,2019,4,22.613180555555562
40,HB_BUSAVG,2019,5,23.959932795698922
41,HB_BUSAVG,2019,6,25.08554166666668
42,HB_BUSAVG,2019,7,29.72962365591398
43,HB_BUSAVG,2019,8,126.38408602150527
44,HB_BUSAVG,2019,9,79.61562499999994
45,HB_BUSAVG,2019,10,28.247056451612934
46,HB_BUSAVG,2019,11,23.46837500000001
47,HB_BUSAVG,2019,12,18.715080645161272
48,HB_HOUSTON,2016,1,19.565725806451617
49,HB_HOUSTON,2016,2,15.464540229885062
50,HB_HOUSTON,2016,3,17.12495289367428
51,HB_HOUSTON,2016,4,18.940958333333334
52,HB_HOUSTON,2016,5,19.17408602150539
53,HB_HOUSTON,2016,6,26.255736111111084
54,HB_HOUSTON,2016,7,29.53892473118277
55,HB_HOUSTON,2016,8,32.9725403225807
56,HB_HOUSTON,2016,9,28.742416666666674
57,HB_HOUSTON,2016,10,28.24955645161289
58,HB_HOUSTON,2016,11,20.36593055555555
59,HB_HOUSTON,2016,12,25.727661290322622
60,HB_HOUSTON,2017,1,24.78185483870971
61,HB_HOUSTON,2017,2,23.265714285714306
62,HB_HOUSTON,2017,3,28.21329744279944
63,HB_HOUSTON,2017,4,32.295736111111104
64,HB_HOUSTON,2017,5,31.533172043010744
65,HB_HOUSTON,2017,6,33.16834722222224
66,HB_HOUSTON,2017,7,34.37583333333333
67,HB_HOUSTON,2017,8,29.401720430107513
68,HB_HOUSTON,2017,9,26.542944444444462
69,HB_HOUSTON,2017,10,30.141236559139788
70,HB_HOUSTON,2017,11,26.091055555555556
71,HB_HOUSTON,2017,12,21.549005376344063
72,HB_HOUSTON,2018,1,37.944784946236524
73,HB_HOUSTON,2018,2,22.16410714285716
74,HB_HOUSTON,2018,3,23.782543741588132
75,HB_HOUSTON,2018,4,24.652694444444446
76,HB_HOUSTON,2018,5,34.14755376344084
77,HB_HOUSTON,2018,6,30.628486111111098
78,HB_HOUSTON,2018,7,79.03404569892474
79,HB_HOUSTON,2018,8,31.944247311827972
80,HB_HOUSTON,2018,9,27.581361111111068
81,HB_HOUSTON,2018,10,30.981935483870988
82,HB_HOUSTON,2018,11,31.319236111111124
83,HB_HOUSTON,2018,12,30.333548387096755
84,HB_HOUSTON,2019,1,25.426034946236562
85,HB_HOUSTON,2019,2,21.50781249999998
86,HB_HOUSTON,2019,3,27.832032301480492
87,HB_HOUSTON,2019,4,23.870652777777796
88,HB_HOUSTON,2019,5,24.794274193548365
89,HB_HOUSTON,2019,6,26.897680555555574
90,HB_HOUSTON,2019,7,29.91100806451612
91,HB_HOUSTON,2019,8,126.62533602150543
92,HB_HOUSTON,2019,9,80.5876527777777
93,HB_HOUSTON,2019,10,30.393602150537653
94,HB_HOUSTON,2019,11,24.0215
95,HB_HOUSTON,2019,12,18.67249999999999
96,HB_HUBAVG,2016,1,19.25869623655914
97,HB_HUBAVG,2016,2,15.269252873563223
98,HB_HUBAVG,2016,3,16.654347240915186
99,HB_HUBAVG,2016,4,18.16686111111111
100,HB_HUBAVG,2016,5,18.247002688172035
101,HB_HUBAVG,2016,6,24.297847222222227
102,HB_HUBAVG,2016,7,27.459206989247352
103,HB_HUBAVG,2016,8,30.948534946236535
104,HB_HUBAVG,2016,9,27.188138888888897
105,HB_HUBAVG,2016,10,25.769059139784947
106,HB_HUBAVG,2016,11,19.489305555555553
107,HB_HUBAVG,2016,12,25.36259408602154
108,HB_HUBAVG,2017,1,23.325551075268802
109,HB_HUBAVG,2017,2,20.352127976190452
110,HB_HUBAVG,2017,3,23.233230148048435
111,HB_HUBAVG,2017,4,24.830486111111128
112,HB_HUBAVG,2017,5,25.905026881720417
113,HB_HUBAVG,2017,6,28.513847222222214
114,HB_HUBAVG,2017,7,31.864408602150526
115,HB_HUBAVG,2017,8,27.83861559139788
116,HB_HUBAVG,2017,9,24.51969444444443
117,HB_HUBAVG,2017,10,24.701451612903266
118,HB_HUBAVG,2017,11,23.16713888888889
119,HB_HUBAVG,2017,12,21.209852150537618
120,HB_HUBAVG,2018,1,37.77303763440862
121,HB_HUBAVG,2018,2,21.83005952380953
122,HB_HUBAVG,2018,3,22.40343203230148
123,HB_HUBAVG,2018,4,22.450305555555552
124,HB_HUBAVG,2018,5,32.83485215053763
125,HB_HUBAVG,2018,6,29.781861111111088
126,HB_HUBAVG,2018,7,78.83232526881713
127,HB_HUBAVG,2018,8,31.69458333333332
128,HB_HUBAVG,2018,9,27.05302777777778
129,HB_HUBAVG,2018,10,29.889112903225822
130,HB_HUBAVG,2018,11,30.277208333333338
131,HB_HUBAVG,2018,12,30.191989247311827
